uid,install_timestamp,free_trial_timestamp,country,language,device_type,os_version,attribution_network,product_price_tier,product_periodicity,product_free_trial_length,onboarding_birth_year,onboarding_gender,net_purchases_15d,net_purchases_1y
7oKFROC4zwYXS+unuXx/FQ==,2019-06-07 00:30:49+00:00,2019-06-07 00:33:05+00:00,FR,fr,iPhone 7 Plus,12.3.1,Snapchat Installs,6,7,7,1994.0,F,0.0,0.0
jLpIZOUEHMlxWTXCIwdmLQ==,2019-06-07 00:31:13+00:00,2019-06-07 00:31:41+00:00,CL,es,iPhone 7,12.3.1,Organic,20,30,7,1974.0,M,6.7,0.0
nSNjmHAhNz/6lokDQd3tbw==,2019-06-07 00:31:59+00:00,2019-06-07 00:33:15+00:00,AU,en,iPhone X,12.2,Snapchat Installs,6,7,7,2001.0,F,3.95,7.960000038146973
Wo72SZWZjTCvku0CnkKCwA==,2019-06-07 00:35:07+00:00,2019-06-07 00:35:38+00:00,FR,fr,iPhone 8 Plus,12.3.1,Snapchat Installs,6,7,7,2003.0,F,0.0,0.0
Dzb16VZgMelwEv5rW3YVmA==,2019-06-07 00:36:02+00:00,2019-06-07 00:38:33+00:00,GB,en,iPad 4,10.3.3,Organic,6,7,7,1956.0,M,0.0,0.0
HbTxcL62njPzlAVdIK3FeA==,2019-06-07 00:38:24+00:00,2019-06-07 00:38:49+00:00,GB,en,iPhone XS Max,12.1.2,Snapchat Installs,6,7,7,2004.0,M,0.0,0.0
Kige6Bb7VVkmyPUbkeH0yQ==,2019-06-07 00:39:51+00:00,2019-06-07 00:43:34+00:00,AU,en,iPhone 7 Plus,12.2,Adwords UAC Installs,20,30,7,1950.0,F,6.81,20.399999618530273
jKd7LraWSOHCB8f0i3w92A==,2019-06-07 00:40:49+00:00,2019-06-07 00:41:25+00:00,GB,en,iPhone XR,12.3.1,Snapchat Installs,20,30,7,1992.0,F,0.0,0.0
m5mO1tcIphbzNEXbVhV65w==,2019-06-07 00:41:34+00:00,2019-06-07 00:42:06+00:00,MX,es,iPhone X,12.3.1,Organic,6,7,7,2006.0,M,0.0,0.0
JviO4wm0q/8Oa0egJbh2IQ==,2019-06-07 00:43:56+00:00,2019-06-07 00:45:03+00:00,GB,en,iPhone 8,12.3.1,Organic,6,7,7,1983.0,F,0.0,0.0
kaHjM7D0Z+ddAp5yK8yiyw==,2019-06-07 00:51:15+00:00,2019-06-18 05:41:40+00:00,US,en,iPhone 8,12.3.1,Organic,6,7,7,2006.0,F,0.0,0.0
5y0NzkL0m9E3vk2JIuIZLQ==,2019-06-07 00:51:41+00:00,2019-06-07 00:52:25+00:00,US,en,iPhone XS Max,12.3.1,Organic,6,7,7,1981.0,F,4.2,25.200000762939453
QFc4JjF1W1aVvaW8fm+CPg==,2019-06-07 00:56:48+00:00,2019-06-07 04:58:50+00:00,US,en,iPhone 8,12.3.1,Snapchat Installs,6,7,7,1994.0,M,0.0,0.0
SG1uyV4kUbBz2NJrX0vIRg==,2019-06-07 01:00:37+00:00,2019-06-07 01:01:14+00:00,US,en,iPhone 6S,12.3.1,Facebook Installs,6,7,7,1985.0,F,4.2,23.100000381469727
ha8PXn4sZv0VJrIKYUTN2Q==,2019-06-07 01:02:37+00:00,2019-06-07 01:09:10+00:00,US,en,iPhone XR,12.2,Snapchat Installs,6,7,7,2007.0,F,4.2,6.300000190734863
T5ODqKgyiwtL603HjXB3Og==,2019-06-07 01:10:52+00:00,2019-06-07 01:17:23+00:00,GB,en,iPhone 6S,12.3.1,Snapchat Installs,6,7,7,2000.0,F,4.13,6.199999809265137
SFnvT4ofbHoHlT+sEg9TDw==,2019-06-07 01:14:14+00:00,2019-06-07 01:15:59+00:00,FR,fr,iPhone X,11.2.2,Snapchat Installs,6,7,7,1997.0,M,3.92,9.140000343322754
eGDY73nMJwUqvz2tZYAH0w==,2019-06-07 01:14:21+00:00,2019-06-07 01:14:58+00:00,NZ,fr,iPhone X,12.3.1,Snapchat Installs,6,7,7,1994.0,F,0.0,0.0
5Uxk0MAznyyMbyfpR+qS5g==,2019-06-07 01:17:41+00:00,2019-06-07 01:19:06+00:00,US,en,iPhone 7,12.3.1,Organic,20,30,7,1984.0,F,0.0,0.0
gM3GZAWid2TYfPu+gkVY5A==,2019-06-07 01:20:35+00:00,2019-06-07 05:36:44+00:00,US,es,iPhone 8 Plus,12.3.1,Facebook Installs,6,7,7,1975.0,F,4.2,4.199999809265137
7d0FePuAkqS4dqAXnwJ1+w==,2019-06-07 01:20:53+00:00,2019-06-07 01:21:59+00:00,US,en,iPad 5,12.3.1,Organic,6,7,7,1968.0,M,0.0,0.0
S3Zsg4EqfGJPd71Hyz3o3g==,2019-06-07 01:22:24+00:00,2019-06-07 01:27:23+00:00,US,en,iPhone 8,12.2,Snapchat Installs,6,7,7,1996.0,F,4.2,4.199999809265137
cxmTUT4OzkkexajNBejnUg==,2019-06-07 01:26:43+00:00,2019-06-07 01:27:21+00:00,FR,fr,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2003.0,F,0.0,0.0
PrTZsIAbMOmW5kqHDr6GPw==,2019-06-07 01:29:55+00:00,2019-06-07 01:30:15+00:00,DK,en,iPhone 8,12.3.1,Snapchat Installs,20,30,7,2003.0,M,0.0,0.0
4GrPAhVZ4teoJAEr94rb6w==,2019-06-07 01:33:11+00:00,2019-06-07 01:34:05+00:00,US,en,iPhone 8 Plus,12.3.1,Organic,6,7,7,1995.0,F,0.0,0.0
EF/K6+FfuassoWRibuyjLw==,2019-06-07 01:33:25+00:00,2019-06-07 01:33:50+00:00,FR,fr,iPhone 8 Plus,12.1.4,Snapchat Installs,20,30,7,1998.0,M,0.0,0.0
Mfsk9SLbDs/jIciFqm+jxg==,2019-06-07 01:34:05+00:00,2019-06-07 01:34:40+00:00,US,en,iPhone 6S,12.3,Organic,20,30,7,2002.0,M,0.0,0.0
IEtGB9LOgsYZNVB+a1JxjQ==,2019-06-07 01:39:14+00:00,2019-06-07 01:40:17+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2006.0,M,0.0,0.0
yjKXn67GPZVrv2u/DyplIw==,2019-06-07 01:39:57+00:00,2019-06-07 01:40:23+00:00,FR,fr,iPhone 6S,12.3.1,Facebook Installs,6,7,7,1981.0,F,1.96,1.9600000381469727
15WLMx4OYfyss3Fl8jiV5Q==,2019-06-07 01:42:32+00:00,2019-06-07 01:43:07+00:00,GB,en,iPhone XS Max,12.2,Snapchat Installs,20,30,7,1999.0,M,0.0,0.0
IJp0kvLpWA4vZF11KH7tLg==,2019-06-07 01:48:10+00:00,2019-06-07 01:48:50+00:00,DE,de,iPhone 7,12.2,Facebook Installs,6,7,7,2000.0,M,0.0,0.0
WZvL8TiSt2GgSEHVqEr8zQ==,2019-06-07 01:48:13+00:00,2019-06-07 01:54:37+00:00,US,en,iPhone 6S,12.1.4,Snapchat Installs,20,30,7,2005.0,F,7.0,7.0
RhJ9jLUtxUH2PS+iLvlEuA==,2019-06-07 01:48:18+00:00,2019-06-07 01:48:46+00:00,AU,en,iPhone X,12.3.1,Snapchat Installs,6,7,7,1998.0,M,0.0,0.0
YhFNu+falRsfHoh/qONGeg==,2019-06-07 01:57:23+00:00,2019-06-07 01:57:48+00:00,DK,en,iPhone X,12.2,Facebook Installs,20,30,7,2000.0,F,0.0,0.0
EXq7Ur/yjAc9feeTgUObGw==,2019-06-07 01:59:31+00:00,2019-06-07 02:00:01+00:00,NZ,en,iPhone 6S,12.3.1,Snapchat Installs,6,7,7,2014.0,?,0.0,0.0
u2FI0EFbNlYjwAjJg9hjog==,2019-06-07 02:04:30+00:00,2019-06-07 02:05:16+00:00,US,en,iPhone 6S,12.2,Organic,6,7,7,1979.0,F,4.2,6.300000190734863
b/badyY+SMJ1pIHZTiouPg==,2019-06-07 02:05:55+00:00,2019-06-07 02:10:29+00:00,US,en,iPhone 6S,12.2,Snapchat Installs,6,7,7,1998.0,F,0.0,0.0
kpjYJh/1UJFHXjz4ZDB1zA==,2019-06-07 02:08:18+00:00,2019-06-07 02:09:10+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,6,7,7,1985.0,F,4.2,4.199999809265137
a6WUuHmtxnpw82TT+k2BjA==,2019-06-07 02:09:35+00:00,2019-06-07 02:10:08+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2003.0,M,0.0,0.0
h7eNFgPV/zv1wkUzN/0Yug==,2019-06-07 02:12:16+00:00,2019-06-07 02:16:10+00:00,US,en,iPhone 7,12.2,Organic,6,7,7,1984.0,F,4.2,12.600000381469727
gXFv2IbypCmu++kTVc9R9Q==,2019-06-07 02:17:41+00:00,2019-06-07 02:19:38+00:00,US,en,iPhone 6S,12.1.4,Organic,6,7,7,1962.0,F,4.2,102.9000015258789
3m+Dq/RVT1kziDa9KZjWUQ==,2019-06-07 02:18:10+00:00,2019-06-07 02:19:21+00:00,US,en,iPhone XS Max,12.2,Organic,20,30,7,1995.0,M,0.0,0.0
7I0f6KsE0P/ZdsWChAytYA==,2019-06-07 02:20:07+00:00,2019-06-07 02:21:02+00:00,US,en,iPhone XS Max,12.3,Snapchat Installs,6,7,7,1996.0,F,2.1,2.0999999046325684
G8X0M4V3tjvisiLBGUdfBw==,2019-06-07 02:20:37+00:00,2019-06-07 02:25:29+00:00,US,en,iPhone XS Max,12.1.2,Facebook Installs,20,30,7,2004.0,M,7.0,84.0
yHyj00ZDOoERNikfJ9gwGQ==,2019-06-07 02:20:40+00:00,2019-06-07 02:21:23+00:00,US,en,iPhone SE,12.2,Adwords UAC Installs,6,7,7,2000.0,?,0.0,0.0
vRHW2UyjE6g+cyOZuVSlww==,2019-06-07 02:22:26+00:00,2019-06-07 02:23:20+00:00,US,en,iPhone XS Max,12.3.1,Organic,6,7,7,1998.0,M,0.0,0.0
mG5bzFoXp7hl9dG7pCtAOQ==,2019-06-07 02:24:17+00:00,2019-06-07 02:25:24+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,1995.0,F,0.0,0.0
wUlPfKJD3fVbd07GQEDr5Q==,2019-06-07 02:25:04+00:00,2019-06-07 02:52:14+00:00,US,en,iPhone XR,12.2,Snapchat Installs,6,7,7,1992.0,M,0.0,0.0
uboH95uZuz/rCJlU7FAakw==,2019-06-07 02:26:08+00:00,2019-06-07 02:28:06+00:00,US,en,iPhone 6 Plus,12.1.4,Organic,6,7,7,1989.0,F,4.2,21.0
vMMNdTzUh/OXqNWq9w+5og==,2019-06-07 02:27:15+00:00,2019-06-07 02:32:08+00:00,FR,fr,iPhone 7,12.2,Snapchat Installs,20,30,7,1995.0,F,0.0,0.0
4afellNPt6z0ogNA0pO7gA==,2019-06-07 02:28:22+00:00,2019-06-07 04:22:27+00:00,US,en,iPhone 6S,12.2,Snapchat Installs,6,7,7,2004.0,F,0.0,0.0
h4uFyMj0c2VHfuztf/V11Q==,2019-06-07 02:31:10+00:00,2019-06-07 02:32:00+00:00,US,en,iPhone 8 Plus,12.3.1,Organic,6,7,7,1991.0,F,0.0,0.0
1DWPMn5VJqqRQ4cGkN1Qdg==,2019-06-07 02:31:47+00:00,2019-06-07 02:32:23+00:00,US,en,iPhone 7,12.2,Snapchat Installs,6,7,7,2005.0,F,2.1,2.0999999046325684
mm2ICDyOk33b7YqYc63UKQ==,2019-06-07 02:34:56+00:00,2019-06-07 02:35:54+00:00,US,en,iPhone 7 Plus,12.3.1,Organic,6,7,7,1998.0,F,4.2,4.199999809265137
MkXihU7wtWUYAy7j0Arn7g==,2019-06-07 02:39:03+00:00,2019-06-07 02:39:23+00:00,US,en,iPhone 8 Plus,12.3.1,Organic,6,7,7,2001.0,F,2.1,2.0999999046325684
XJrvLYM01qr6aeB1eKapXQ==,2019-06-07 02:39:35+00:00,2019-06-07 02:40:37+00:00,US,en,iPhone X,12.3.1,Snapchat Installs,20,30,7,1991.0,M,0.0,0.0
InbOOdWh1mv1VQZH1JFzKQ==,2019-06-07 02:43:01+00:00,2019-06-07 02:43:34+00:00,US,en,iPhone XR,12.3.1,Snapchat Installs,20,30,7,1995.0,M,0.0,0.0
1kN17n+U83s7O1GwvBXg5A==,2019-06-07 02:48:25+00:00,2019-06-07 02:50:29+00:00,US,en,iPhone 8 Plus,12.1.2,Snapchat Installs,6,7,7,2006.0,F,4.2,33.599998474121094
j7XUea3orXzTY15jX260RQ==,2019-06-07 02:51:43+00:00,2019-06-07 02:52:16+00:00,BR,en,iPhone 7 Plus,12.3.1,Facebook Installs,6,7,7,1994.0,F,0.0,0.0
SJQL12rnTLOqKHbmL8H69A==,2019-06-07 02:52:25+00:00,2019-06-07 02:53:40+00:00,US,en,iPhone XS,12.3.1,Snapchat Installs,20,30,7,1998.0,F,0.0,0.0
1jhYL6PpVAIgOwP107WSSg==,2019-06-07 02:52:54+00:00,2019-06-07 02:53:18+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,6,7,7,2000.0,F,0.0,0.0
vboAvmrFsaq0pg/Sx90sXA==,2019-06-07 02:53:16+00:00,2019-06-07 02:53:45+00:00,US,en,iPhone 6S,12.1.2,Organic,6,7,7,2002.0,F,0.0,0.0
OK8Do+Wab+v27hPXW5iVBg==,2019-06-07 02:58:26+00:00,2019-06-07 13:29:26+00:00,AU,en,iPad Air 2,12.3.1,Facebook Installs,20,30,7,1949.0,F,0.0,0.0
F+3a5TBHSJNqRLgfzi2ydA==,2019-06-07 02:59:13+00:00,2019-06-07 03:00:22+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,6,7,7,1998.0,?,4.2,25.200000762939453
FmatR7PdVRptFi5Q79fxKw==,2019-06-07 03:02:36+00:00,2019-06-07 03:03:04+00:00,US,en,iPhone XS Max,12.2,Snapchat Installs,6,7,7,1998.0,?,2.1,4.199999809265137
QABU/zSlFzpQnVkclciadg==,2019-06-07 03:02:39+00:00,2019-06-07 03:03:35+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2002.0,M,2.1,2.0999999046325684
2jhUHnl0lT1pSz52h9jNlA==,2019-06-07 03:04:18+00:00,2019-06-07 05:09:26+00:00,CA,en,iPad 6,12.3.1,Organic,6,7,7,1963.0,F,0.0,0.0
th6J8L7cGEtV+TRnZCa1+Q==,2019-06-07 03:06:08+00:00,2019-06-07 03:06:46+00:00,US,en,iPhone 8,12.3.1,Organic,6,7,7,1997.0,M,0.0,0.0
6z8m6RL1RnBLT8SQaDMT+w==,2019-06-07 03:08:03+00:00,2019-06-07 03:08:35+00:00,US,en,iPhone 7 Plus,12.2,Snapchat Installs,6,7,7,2000.0,F,2.1,2.0999999046325684
xFgeSi9bbZf+VWcpYLSXwA==,2019-06-07 03:08:32+00:00,2019-06-07 03:09:01+00:00,US,en,iPhone X,12.3.1,Organic,6,7,7,1984.0,M,0.0,0.0
RRG2uhRttGK/boJ1/VTT9Q==,2019-06-07 03:11:42+00:00,2019-06-07 03:12:15+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,20,30,7,1991.0,F,0.0,0.0
DVuHUD9qRGY5TOn2ONgrHg==,2019-06-07 03:13:25+00:00,2019-06-07 03:13:49+00:00,MX,es,iPhone 8 Plus,12.3.1,Facebook Installs,20,30,7,1972.0,F,0.0,0.0
8pzm+wTuFVRcanKPdrSXxQ==,2019-06-07 03:14:10+00:00,2019-06-07 03:14:37+00:00,US,en,iPhone XS,12.3.1,Snapchat Installs,20,30,7,2004.0,F,7.0,14.0
y4vFgxRsljWwQBHuEiE7TQ==,2019-06-07 03:15:31+00:00,2019-06-07 03:16:27+00:00,US,en,iPhone X,12.3.1,Snapchat Installs,6,7,7,1995.0,F,4.2,10.5
+3bXs2WUGhxZDMK5xNoztg==,2019-06-07 03:16:07+00:00,2019-06-07 03:16:58+00:00,NZ,en,iPhone 7 Plus,12.3.1,Snapchat Installs,6,7,7,1992.0,F,0.0,0.0
nW/l4vlFE6n/3bB5m00V+w==,2019-06-07 03:16:08+00:00,2019-06-07 03:16:50+00:00,US,en,iPhone 7 Plus,12.3.1,Snapchat Installs,6,7,7,2003.0,F,0.0,0.0
HDvhL3SikuiE92LlPl/cLQ==,2019-06-07 03:16:30+00:00,2019-06-07 03:16:51+00:00,US,en,iPhone XR,12.3.1,Snapchat Installs,6,7,7,2000.0,M,0.0,0.0
+vgqFZbHQjCLSfP8/8UnMA==,2019-06-07 03:17:04+00:00,2019-06-07 03:17:26+00:00,US,en,iPhone X,12.1.4,Snapchat Installs,6,7,7,2002.0,?,0.0,0.0
1C0Bew5w34Z+JwTGQ+phBg==,2019-06-07 03:18:39+00:00,2019-06-07 03:19:57+00:00,FR,fr,iPhone 6S Plus,12.1.4,Snapchat Installs,6,7,7,2000.0,F,0.0,0.0
mTLORojUHbyVhPtAx/YSaw==,2019-06-07 03:20:07+00:00,2019-06-07 03:23:18+00:00,CA,en,iPod Touch 6,12.2,Organic,6,7,7,1966.0,M,0.0,0.0
xNtXKngxwBj8eW+1dIRPpA==,2019-06-07 03:23:16+00:00,2019-06-07 03:25:34+00:00,MX,es,iPhone 6,12.3.1,Organic,6,7,7,1989.0,M,0.0,0.0
fogc4CTRUqqB+P1SauYK2Q==,2019-06-07 03:24:43+00:00,2019-06-09 03:48:23+00:00,AU,en,iPhone 7 Plus,12.3.1,Facebook Installs,6,7,7,1958.0,F,3.95,5.949999809265137
ivKoG195BQtyk9f/lSEejQ==,2019-06-07 03:28:31+00:00,2019-06-07 03:29:15+00:00,GB,en,iPhone 6S,12.2,Organic,6,7,7,1994.0,F,2.06,2.059999942779541
BBQcAEkDYynNNMr4CRDwDw==,2019-06-07 03:30:02+00:00,2019-06-07 03:30:37+00:00,US,en,iPhone 7 Plus,11.4.1,Organic,6,7,7,1992.0,F,4.2,25.200000762939453
yRlZRc4gw9gZwLzsrndjyw==,2019-06-07 03:31:22+00:00,2019-06-07 03:34:01+00:00,US,en,iPhone XR,12.2,Organic,6,7,7,2002.0,M,0.0,4.199999809265137
Oo1UK/F+ZS3/VsFpeZfIxg==,2019-06-07 03:31:41+00:00,2019-06-07 03:32:58+00:00,CR,es,iPhone 7,12.3.1,Organic,6,7,7,1988.0,M,0.0,0.0
OhmwuPxKB/bRnU4tS0SRPw==,2019-06-07 03:42:42+00:00,2019-06-07 03:43:43+00:00,CA,en,iPhone SE,12.2,Facebook Installs,6,7,7,,,0.0,0.0
Uwb4WQPnBToadmG1SbEegw==,2019-06-07 03:42:47+00:00,2019-06-07 03:48:33+00:00,US,en,iPhone X,12.3.1,Snapchat Installs,6,7,7,2002.0,F,2.1,2.0999999046325684
ZdgbQ594cL/4uRtjTonOwA==,2019-06-07 03:43:23+00:00,2019-06-07 03:44:00+00:00,US,en,iPhone XR,12.2,Organic,6,7,7,1993.0,M,0.0,0.0
eL6JtcHWmCfdPzWHS3SVfg==,2019-06-07 03:43:24+00:00,2019-06-07 04:01:03+00:00,US,en,iPhone 6S Plus,12.3.1,Organic,6,7,7,1993.0,F,0.0,0.0
xvnkYxYm4m4fGfqS+a9RJA==,2019-06-07 03:51:56+00:00,2019-06-07 03:52:46+00:00,MX,es,iPhone 8,12.2,Facebook Installs,6,7,7,1997.0,F,0.0,0.0
PI+2HXGGqKYSm98zNc7avg==,2019-06-07 03:53:19+00:00,2019-06-07 03:54:09+00:00,FR,fr,iPhone X,12.3.1,Adwords UAC Installs,20,30,7,1998.0,F,0.0,0.0
xQPbgEcyiq274nzzjRRvVQ==,2019-06-07 03:56:02+00:00,2019-06-07 03:56:40+00:00,US,en,iPhone 7,12.0.1,Organic,20,30,7,1996.0,F,0.0,2.0999999046325684
Zms8MWlVQokKPs78un1fvA==,2019-06-07 03:56:24+00:00,2019-06-07 03:57:45+00:00,US,en,iPhone 6,12.3.1,Organic,20,30,7,2004.0,M,0.0,0.0
y1rZ5SG7nmxQwEgZaEdgZg==,2019-06-07 04:01:04+00:00,2019-06-07 04:01:44+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2001.0,M,0.0,0.0
avRcjd2xrcep9ki7FR/fng==,2019-06-07 04:01:44+00:00,2019-06-07 04:02:24+00:00,US,en,iPhone 6S,12.2,Snapchat Installs,6,7,7,2001.0,M,0.0,0.0
wbCsw3YKyy65DTxseYVnfw==,2019-06-07 04:05:47+00:00,2019-06-07 04:10:53+00:00,US,en,iPhone XS Max,12.2,Snapchat Installs,20,30,7,1998.0,F,7.0,14.0
nKmdviI8VVWOINVXK7T2DQ==,2019-06-07 04:08:13+00:00,2019-06-07 04:09:35+00:00,US,en,iPhone SE,12.3.1,Organic,20,30,7,1982.0,F,7.0,21.0
K8fiXf/SR4YEODxB420Adg==,2019-06-07 04:11:29+00:00,2019-06-07 04:15:55+00:00,AU,en,iPhone 7 Plus,12.3.1,Facebook Installs,6,7,7,1969.0,M,0.0,0.0
qQ3DkgIe7EHv/iOSTigCrw==,2019-06-07 04:12:11+00:00,2019-06-07 04:13:03+00:00,US,en,iPhone 7,12.2,Snapchat Installs,6,7,7,1999.0,M,2.1,10.5
MMp2tsQng/RSGA8TU3B1qg==,2019-06-07 04:12:51+00:00,2019-06-07 04:13:25+00:00,US,en,iPhone 7 Plus,12.3.1,Snapchat Installs,6,7,7,1998.0,F,0.0,0.0
D2nONT6UFuCTsWUk8JrKug==,2019-06-07 04:13:54+00:00,2019-06-07 04:14:43+00:00,US,en,iPhone 8 Plus,12.2,Snapchat Installs,20,30,7,2002.0,M,0.0,0.0
vbboDm1V8d+jQIxQnKtOnQ==,2019-06-07 04:18:34+00:00,2019-06-07 04:18:57+00:00,US,en,iPhone XR,12.3.1,Snapchat Installs,20,30,7,1999.0,F,0.0,0.0
QB4hWT7a5vtiNCFHS9zr9g==,2019-06-07 04:19:12+00:00,2019-06-07 04:20:04+00:00,US,en,iPhone X,12.2,Organic,6,7,7,1990.0,F,0.0,0.0
xGj5Ie9NwP5KIcpfyRsYdQ==,2019-06-07 04:19:43+00:00,2019-06-07 04:20:11+00:00,US,en,iPhone 8,12.1.2,Snapchat Installs,6,7,7,2014.0,F,2.1,2.0999999046325684
H1fvKkMTQ4v8mR6J4f0BpQ==,2019-06-07 04:22:28+00:00,2019-06-07 04:22:53+00:00,US,en,iPhone 8 Plus,12.3.1,Organic,20,30,7,1985.0,F,7.0,7.0
zjEEidMikJ/beYRVlMjHSw==,2019-06-07 04:30:51+00:00,2019-06-07 04:32:33+00:00,US,en,iPhone 8,12.2,Organic,6,7,7,1998.0,M,0.0,0.0
MYJUXrveCWyMMu16OQIQ/g==,2019-06-07 04:33:37+00:00,2019-06-07 04:34:20+00:00,MX,en,iPhone X,12.3.1,Organic,20,30,7,2000.0,F,7.12,7.119999885559082
aqr/NFgcFAymJqkVSqrcjQ==,2019-06-07 04:34:24+00:00,2019-06-07 04:35:02+00:00,US,en,iPhone 7 Plus,12.2,Organic,6,7,7,2000.0,F,0.0,0.0
lo9s23vSFhirqhG9yoE/xw==,2019-06-07 04:34:31+00:00,2019-06-07 04:35:01+00:00,US,en,iPhone 8,12.3.1,Organic,6,7,7,1980.0,F,0.0,0.0
U/b2ED90iWIFO27gta89tw==,2019-06-07 04:35:21+00:00,2019-06-07 04:36:27+00:00,US,en,iPhone XR,12.3.1,Snapchat Installs,6,7,7,1998.0,M,4.2,6.300000190734863
+gD5ie8fyAZSeoHeG8wpIw==,2019-06-07 04:35:55+00:00,2019-06-07 04:36:54+00:00,DE,en,iPad Pro 10.5-inch,12.3.1,Facebook Installs,6,7,7,1961.0,F,0.0,0.0
BWMpoyuLQFXdjaI4/0864Q==,2019-06-07 04:36:25+00:00,2019-06-07 04:37:05+00:00,US,en,iPhone 6S,12.3.1,Snapchat Installs,6,7,7,2007.0,F,2.1,2.0999999046325684
hRMfIaAiEEMdRElVnSmirw==,2019-06-07 04:37:29+00:00,2019-06-07 04:39:08+00:00,GB,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2001.0,M,0.0,0.0
DcvTrJ1bMi4fwRVMXqArqw==,2019-06-07 04:39:26+00:00,2019-06-07 04:41:17+00:00,US,en,iPhone 6S,12.3.1,Snapchat Installs,6,7,7,1990.0,F,4.2,18.899999618530273
Sk8zsPOiMf4v83w5byTTxA==,2019-06-07 04:40:01+00:00,2019-06-07 04:40:52+00:00,CA,en,iPhone XR,12.3.1,Organic,6,7,7,1995.0,M,0.0,0.0
QSKE+u2mdssPKXUF1NAnUA==,2019-06-07 04:40:02+00:00,2019-06-07 04:40:51+00:00,US,en,iPhone XS,12.3.1,Organic,20,30,7,1981.0,M,7.0,14.0
soJufIxh74O6p6ijh5FrSg==,2019-06-07 04:40:12+00:00,2019-06-07 04:41:02+00:00,US,en,iPhone X,12.2,Organic,20,30,7,1994.0,F,7.0,21.0
